Host Name,OS Name 
"                    CARLEES24","                      Microsoft Windows 11 Pro"
"                    TRAVISD23","                      Microsoft Windows 11 Pro"
"                    CADAMSSUR","                      Microsoft Windows 11 Pro"
"                    TAYLAB23","                      Microsoft Windows 11 Pro"
"                    ENGRAVING218","                      Microsoft Windows 10 Pro"
"                    BEV23","                      Microsoft Windows 11 Pro"
"                    BONNIEL22","                      Microsoft Windows 11 Pro"
"                    JANINE24","                      Microsoft Windows 11 Pro"
"                    JPRODUCTION20","                      Microsoft Windows 11 Pro"
"                    IROMERO22","                      Microsoft Windows 11 Pro"
"                    LUNCHROOM18","                      Microsoft Windows 11 Pro"
"                    JULIEF23","                      Microsoft Windows 11 Pro"
